n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,silhouette_score,davies_bouldin_score,calinski_harabasz_score
29,25,0.0,euclidean,25,15,0.5035103,0.5022504292796086,17610.052615552922
29,25,0.0,euclidean,26,16,0.48433453,0.5114391153923548,16663.22156887382
29,25,0.0,euclidean,24,14,0.5037818,0.49576007205503964,19921.972995389737
29,25,0.0,euclidean,27,15,0.52025455,0.48900456577999346,18330.46459433661
29,25,0.0,euclidean,23,17,0.4694205,0.47145937493994317,16198.676639289082
29,25,0.0,euclidean,28,14,0.45370287,0.5364084448156544,15642.335441152536
29,25,0.0,euclidean,22,18,0.3480538,0.49432545016676327,5631.6889345054
29,25,0.0,euclidean,29,13,0.4452152,0.5378872355963383,15328.186601640942
29,25,0.0,euclidean,21,19,0.51306695,0.47023787930749045,18550.953320260687
29,25,0.0,euclidean,30,12,0.44423938,0.5408299070426899,14306.1734837046
29,25,0.0,euclidean,20,20,0.5232224,0.4650262158216922,22593.637671716744
30,25,0.0,euclidean,25,15,0.39739293,0.5345607035048481,12181.86149503499
30,25,0.0,euclidean,26,16,0.4109724,0.5103533690898798,6062.614778614868
30,25,0.0,euclidean,24,14,0.44505638,0.5262217868382568,13316.310610135086
30,25,0.0,euclidean,27,15,0.4817256,0.5181528214759118,16821.792781538432
30,25,0.0,euclidean,23,17,0.4744439,0.48613128470328937,16711.71402602292
30,25,0.0,euclidean,28,14,0.4598589,0.5240099832202617,18349.102010399685
30,25,0.0,euclidean,22,18,0.49732447,0.4686972293367032,18252.960745686887
30,25,0.0,euclidean,29,13,0.41709515,0.5480789349124594,14444.38508926224
30,25,0.0,euclidean,21,19,0.47265565,0.4752290185153291,13417.286425907363
30,25,0.0,euclidean,30,12,0.36016428,0.5803001099059494,6444.569318768772
30,25,0.0,euclidean,20,20,0.46235558,0.4694444034255711,13394.330527611975
28,25,0.1,euclidean,25,15,0.43681732,0.5456203644110242,11620.39353303134
28,25,0.1,euclidean,26,16,0.45898917,0.5424816959776394,11748.95114254856
28,25,0.1,euclidean,24,14,0.41774574,0.538543836792224,10974.12628859083
28,25,0.1,euclidean,27,15,0.4820354,0.5534056320977394,12669.118525189886
28,25,0.1,euclidean,23,17,0.47319707,0.5110321748907233,13119.789571780815
28,25,0.1,euclidean,28,14,0.37500244,0.5706900659521141,5428.440123610022
28,25,0.1,euclidean,22,18,0.46659768,0.5149717884616838,11537.690719932563
28,25,0.1,euclidean,29,13,0.48644564,0.5876599730012222,13612.126179884277
28,25,0.1,euclidean,21,19,0.49183342,0.49375282450400515,10578.93301524901
28,25,0.1,euclidean,30,12,0.48697898,0.5738533922746454,12457.8058217174
28,25,0.1,euclidean,20,20,0.46787053,0.5034002747747811,9933.060929750895
31,24,0.05,euclidean,25,15,0.4861187,0.5223041976630527,16225.731619230824
31,24,0.05,euclidean,26,16,0.46980277,0.5148889461340758,13248.896321546701
31,24,0.05,euclidean,24,14,0.37606058,0.5505762227617512,4970.499565179652
31,24,0.05,euclidean,27,15,0.47789884,0.5452527978394706,15470.376062911788
31,24,0.05,euclidean,23,17,0.48524535,0.501585990398249,12055.420208083362
31,24,0.05,euclidean,28,14,0.48857114,0.5359811631273395,14536.806882313702
31,24,0.05,euclidean,22,18,0.47637463,0.4928634732563853,13252.212180554787
31,24,0.05,euclidean,29,13,0.47357973,0.5553049076626059,20935.4688930164
31,24,0.05,euclidean,21,19,0.49187618,0.4763734714189108,13173.553374166522
31,24,0.05,euclidean,30,12,0.4685804,0.5658810533204975,18792.752235566633
31,24,0.05,euclidean,20,20,0.41306537,0.4877395841903677,9818.411590968695
27,26,0.15,euclidean,25,15,0.3643299,0.568709979927829,4732.430122406934
27,26,0.15,euclidean,26,16,0.44845268,0.5429796965812679,10573.471894446835
27,26,0.15,euclidean,24,14,0.5081181,0.5643276378992582,11494.970890189035
27,26,0.15,euclidean,27,15,0.44263396,0.5596612270045511,10215.896876102537
